Seite (Noten),Seite,Buch,Künstler,Titel
283,268,1,10 CC,Dreadlock Holiday
163,163,5,257ers,Holz
59,61,3,2raumwohnung,Besser geht
1,1,4,2raumwohnung,36 Grad
52,48,1,5th Dimension,Aquarius
281,266,1,5th Dimension,Let The Sunshine In
32,32,4,A fine Frenzy,Almost Lover
150,143,1,ABBA,Fernando
295,289,1,ABBA,Take A Chance On Me
315,297,1,ABBA,Chiquitita
327,308,1,ABBA,Super Trouper
429,399,1,ABBA,The Winner Takes It All
13,13,2,ABBA,Waterloo
72,66,2,ABBA,The Day Before You Came
77,71,2,ABBA,S.O.S.
116,129,2,ABBA,Thank You For The Music
143,138,2,ABBA,Dancing Queen
199,188,2,ABBA,One Of Us
275,263,2,ABBA,"Knowing Me, Knowing You"
309,297,2,ABBA,Mamma Mia
99,100,3,ABBA,Money Money Money
131,131,3,ABBA,I Have A Dream
284,280,3,ABBA,Gimme! Gimme! Gimme!
18,18,4,ABBA,Lay All Your Love On Me
170,170,5,ABBA,I Do I Do I Do I Do I Do
177,177,5,ABBA,I still have faith in you
305,305,5,ABBA,Slipping through my fingers
399,396,5,ABBA,Don't shut me down
